date,A,AA,AAP,AMZN,FB,GOOG,HRB,IBM,MSFT,NFLX,T,TSLA,VOD,YAHOY,^DJI,^GSPC
2012-05-18,25.83153052,19.42976033,64.9685627,216.2200012,41.5,306.1325531,10.10313561,140.5546749,24.22846946,9.864999771,19.6315232,5.529000044,15.5383566,5.774096489,12414.86475,1302.109985
2012-05-21,25.85446141,19.42976153,65.87182777,216.4000015,34.82999992,302.7875824,10.19701035,140.0622763,24.17507482,9.981428146,19.71623114,5.638000011,15.57997097,5.852409363,12437.91504,1306.059998
2012-05-22,26.47690456,19.52087473,67.03597207,216.4150009,32.26500034,301.3230743,10.26653985,140.6902577,24.3927927,9.975000381,19.6432087,6.134000063,16.08830605,5.801204443,12511.64502,1319.265015
2012-05-23,26.34258879,19.27031323,67.76534743,214.3649979,31.93000031,300.5534515,10.31173232,139.0383198,23.84232976,9.951428413,19.49131724,6.055000067,15.93075391,5.674698591,12409.92969,1308.619995
2012-05-24,26.73243844,19.44115092,69.50423414,215.1800003,32.48999977,301.5671539,10.44037028,139.2487941,23.85054622,10.08500004,19.58770466,6.094000101,16.05560389,5.765060663,12479.60986,1317.320007
2012-05-25,26.94537609,19.60059709,70.67807193,214.0999985,32.03000069,296.3915405,10.54119494,139.1489208,23.97789126,10.24285746,19.67825861,5.960999966,16.07344317,5.710843563,12477.3252,1319.214966
2012-05-29,27.41385364,20.12449805,71.0886278,214.4199982,30.17000008,295.7539368,10.63854147,140.3263427,24.21204337,9.95357132,19.76880906,6.194000006,16.08533321,5.734939575,12533.10498,1326.915039
2012-05-30,27.00762522,19.72587563,70.63939089,210.3649979,28.70499992,292.7601624,10.64549585,138.8777325,24.07237278,9.714286327,19.80677877,6.165999889,15.94561404,5.737951517,12487.75,1321.005005
2012-05-31,26.82744331,19.37281422,70.07909883,210.4499969,28.25,291.1586761,10.60725228,138.0535674,23.97378243,9.295714378,19.92070008,5.904000044,15.86237692,5.774096489,12403.17529,1309.320007
2012-06-01,25.38926726,19.09947818,69.3110681,209.2649994,28.2699995,284.1848145,10.52728658,135.6951564,23.57942213,8.887857437,19.85935191,5.691999912,15.90696995,5.548192501,12249.55518,1293.559998
2012-06-04,24.76354499,18.90586179,68.59132185,210.8600006,27.04500008,286.5509491,10.58986763,134.2894061,23.45618517,9.114999771,19.89732377,5.552000046,15.96642068,5.635542631,12089.39014,1274.64502
2012-06-05,24.89785567,19.17920202,68.95843509,214.0100021,26.75500011,285.0814514,10.73241086,134.6568655,23.47261911,9.327142239,19.92361275,5.595000029,15.94264365,5.765060425,12109.85986,1280.890015
2012-06-06,25.60221004,19.40698526,70.69254632,216.4599991,26.34500027,287.8161926,10.92015019,137.0153082,23.89983744,9.53714323,20.04045111,5.758999825,16.18613167,5.801205158,12269.89502,1300.369995
2012-06-07,26.30000043,19.85115632,71.22870667,219.8000031,26.75,290.1972809,10.94096193,139.0668275,24.18328916,9.379286289,20.12516554,5.871999979,16.30971411,5.858433485,12485.89502,1320.865051
2012-06-08,25.97239124,19.23614785,71.29150357,218.0400009,27.10000038,287.8161926,10.86349396,138.3782514,24.12577528,9.275000095,20.08718671,5.834000111,16.33751913,5.831325531,12476.32031,1316.790039
2012-06-11,25.90359766,19.35004095,70.99683305,218.034996,27.45499992,286.9270325,10.85644992,138.8170792,24.08469494,9.255000114,20.31794081,5.995999813,16.43329772,5.837349415,12524.4751,1321.625
2012-06-12,25.57600002,19.20198055,70.30610501,216.2600021,27.36499977,281.1661224,10.70151227,138.0107476,23.88340829,9.050714493,20.27412766,5.86500001,16.70208578,5.816264868,12494.46484,1315.465027
2012-06-13,25.76600684,19.38420578,69.36899555,215.4500046,27.60000038,280.3691101,10.67333967,138.2712215,24.02719137,9.040714264,20.38220262,6.010999918,16.84729769,5.924699068,12525.97021,1318.89502
2012-06-14,25.72669181,19.45253875,69.03087559,214.5299988,27.84999943,279.3504333,10.7860234,138.638703,23.96556615,8.86928606,20.68013916,5.927000046,16.90290634,5.882529974,12598.16992,1323.910034
2012-06-15,26.05102436,19.89671384,67.81364279,216.8950043,29.22500038,279.3554077,10.90574984,140.8151646,24.47084507,9.190000057,20.91672719,5.875999928,16.91526394,5.894578457,12713.04004,1336.254944
2012-06-18,26.09360936,19.80560084,67.90058433,220.2449951,30.74500084,282.306839,10.94800575,141.5786329,24.54067662,9.410000324,20.90796532,6.183000088,16.92453891,5.909638405,12739.05469,1341.339966
2012-06-19,26.76846894,20.10171881,67.34991947,223.4300003,31.44000053,288.2695007,10.94448384,142.2851483,25.12399698,9.787857056,20.73562874,6.416000128,17.29836967,5.891566515,12821.70508,1354.144958
2012-06-20,26.76847047,20.30671811,66.39825056,222.7900009,31.53999996,287.3006134,10.95152815,141.7320361,25.34171709,9.797142506,20.68888994,6.771000147,17.24584759,6.180722952,12811.0498,1354.009949
2012-06-21,26.24431164,19.82837842,65.98729948,223.2750015,32.00500011,284.8249054,10.90222983,140.0908786,25.1404385,9.584999561,20.63048484,6.611999989,17.17787643,6.150602579,12709.4248,1341.340027
2012-06-22,25.53340549,19.54365024,65.60534201,220.9300003,32.75500107,283.2632599,10.87405793,138.4710265,24.95968061,9.569285393,20.53993471,6.644000053,17.15007032,6.265060425,12624.375,1331.869995
2012-06-25,24.87492645,19.20197892,64.47891323,219.7949982,32.28499985,280.3093414,10.74728704,137.3899385,24.62283583,9.709285259,20.39388367,6.687000036,17.13771231,6.195783615,12548.93994,1322.085022
2012-06-26,24.85527057,19.15642223,62.38068243,223.9199982,32.96999931,280.4687347,10.66981823,137.1615419,24.73375212,9.575000286,20.43769865,6.373999834,17.24893494,6.25301218,12514.22021,1317.27002
2012-06-27,25.1697672,19.21336772,61.34608713,225.4000015,32.40000057,283.9382172,11.05364508,137.2222133,24.86519809,9.489286423,20.53409016,6.40199995,17.36942846,6.388554335,12589.79004,1327.554993
2012-06-28,24.67508994,19.21336929,63.05268922,221.6849976,31.54499912,279.8111877,11.08534057,135.9305975,24.4297607,9.56000042,20.54869485,6.273000002,17.31999559,6.364457369,12538.20996,1322.405029
2012-06-29,25.50602392,19.74865941,65.12673032,226.0300064,31.375,287.0067139,11.35296834,138.5138203,24.98844026,9.684999943,20.78821123,6.379999876,17.41268158,6.454819441,12742.45996,1346.14502
2012-07-02,25.65712352,19.77143356,65.61986489,227.8399963,31.13999939,288.7925415,11.25084663,139.8803291,24.98843585,9.725000381,20.98390794,6.19900012,17.34471409,6.448795319,12848.80029,1361.024963
2012-07-03,25.80165048,20.14727551,65.84222804,228.5599976,31.11999989,290.5135803,11.2649332,139.5948621,25.02951417,10.03500032,21.03065109,6.139999866,17.40032491,6.548193216,12895.74023,1369.170044
2012-07-05,25.8969033,20.38644028,67.21043631,228.5149994,31.32499981,296.0403595,11.34240333,139.3201645,25.12399698,11.22571421,20.88459824,6.246999979,17.48065121,6.44879508,12906.77002,1368.434998
2012-07-06,25.09871712,19.81699269,66.57711082,226.5399933,31.57999992,292.9868164,11.31423256,136.8939996,24.91450083,11.82999992,20.8193984,6.253000021,17.35089358,6.521084547,12796.19531,1357.559998
2012-07-09,24.8523599,19.74865619,67.05574498,224.7249985,32.43500042,291.3703766,11.34944698,135.2420222,24.65158611,11.73857117,20.92881393,6.25,17.4559389,6.617469549,12729.29492,1350.76001
2012-07-10,24.86549577,19.61198334,67.94529917,222.7099991,31.81999969,291.6991425,11.33888366,134.4178542,24.53657007,11.66642904,21.0323233,6.336999893,17.41886211,6.737951994,12718.6001,1348.905029
2012-07-11,24.45161746,19.0425323,67.63103687,218.5400009,31.05499935,284.6306305,11.37057531,132.3235244,24.17507297,11.76785755,20.87262359,6.269000053,17.69692164,6.807229042,12598.1499,1339.125
2012-07-12,24.03117224,18.89447532,68.22571102,214.9550018,31,282.4463196,11.40578805,130.6715433,23.71087875,11.85714293,20.62716829,6.381000042,17.36633617,6.789156437,12561.44482,1333.350037
2012-07-13,24.24139899,19.01975496,69.54552633,216.5950012,30.81499958,285.8535461,11.53960043,131.784702,23.90805945,12.18357086,20.76024846,6.72300005,17.60732382,6.704819679,12678.88525,1346.255005
2012-07-16,24.19869237,19.04253681,68.52544453,216.3850021,29.35499954,286.6679993,11.63819876,132.2556991,24.06005189,12.01285744,20.92289977,6.99000001,17.77107037,6.722891569,12734.81494,1352.88501
2012-07-17,24.27752754,18.92864128,69.96132854,215.9500046,27.86999989,286.1947784,11.67341351,131.8311039,24.26133612,11.72571468,21.04119102,6.758999825,17.70309993,6.695783138,12737.16504,1355.214966
2012-07-18,24.93776097,18.917257,70.7783525,217.1900024,28.72000027,288.8722382,11.77905475,132.7765856,24.61050498,11.68928576,21.23932966,6.47300005,17.86684396,6.768072605,12838.27539,1367.109985
2012-07-19,25.14798358,19.09947648,71.29566422,224.0950012,29.06499958,295.0142059,11.75792609,139.0846893,25.13221539,11.88214254,21.01752727,6.519000053,17.74635048,6.879518032,12933.75,1375.799988
2012-07-20,24.84907392,18.92863811,70.20788649,227.3399963,29.09499931,301.6493378,11.65932706,138.1035076,25.09935396,11.78714275,20.87854087,6.349999905,17.36943163,6.743976116,12876.58984,1369.349976
2012-07-23,24.02132147,18.41613538,68.99442605,224.0599976,28.50500011,303.0142365,11.51142844,135.402561,24.06826005,11.40857124,20.81642903,6.192000151,17.21186113,6.620482206,12701.93018,1349.950012
2012-07-24,23.64685753,18.38196824,69.0620701,223.9199982,28.77500057,304.4264374,11.3811371,135.5381639,23.93270358,11.44857168,20.66857573,6.065999985,17.04193876,6.638554096,12625.96484,1340.38501
2012-07-25,23.74868109,18.33641245,69.65675696,219.2050018,28.78499985,303.5497131,11.37057625,136.3266509,23.87108036,9,20.77503561,5.872999907,17.12535501,6.5,12675.19482,1337.73999
2012-07-26,24.27424054,18.46169058,68.79133959,218.1999969,27.47999954,305.5796204,11.39170415,138.2640809,24.06826554,8.257143021,21.36945409,5.763999939,17.4775624,7.093373299,12805.90479,1350.650024
2012-07-27,24.57972791,18.98558765,67.49567753,231.4199982,23.4100008,311.9557037,11.39170331,139.6341487,24.24901634,8.304999828,21.82191349,5.776000023,17.66293503,7.138554096,13003.13525,1374.619995
2012-07-30,24.96076284,19.11086743,67.58754793,237.4050064,23.5350008,316.8374176,11.48677713,140.4904374,24.35171318,8.306428432,22.09694829,5.746000051,17.72472354,7.394578457,13085.74463,1386.554993
2012-07-31,25.20382073,19.27031012,68.43359289,233.9550018,22.49000072,314.9993134,11.44804658,140.3833991,24.25312497,8.209285736,22.30099687,5.531999826,17.77106794,7.310240984,13044.57031,1383.165039
2012-08-01,25.17755593,19.37309938,67.54402968,232.5400009,21.21000004,316.5360413,11.34240058,140.0658774,24.17917577,7.991428375,22.45181927,5.40199995,18.19124736,7.367470026,13012.99512,1379.190002
2012-08-02,24.72753844,18.8702009,65.12188263,231.5,20.32999992,314.182373,11.09590463,139.0132895,24.03129296,7.784285545,22.20637172,5.236999989,18.06148592,7.243976116,12874.375,1364.890015
2012-08-03,25.61770562,19.09879078,65.17507482,234.7600021,21.02999973,318.7701721,11.19098432,140.9721093,24.4092258,7.734999895,22.31874161,5.429000139,18.30247168,7.343373537,13009,1379.804993
2012-08-06,25.98230921,19.37309785,66.50457729,234.7750015,21.72499943,320.9470215,11.26845362,142.1673458,24.61461667,7.948571444,22.33943978,5.625,18.32409788,7.418674946,13143.5,1395.335022
2012-08-07,26.21881286,19.5902617,67.77606943,235.625,21.47500038,318.9868622,11.24380331,142.6026556,24.73786022,8.287142754,22.24184993,5.939999819,18.36735463,7.400602579,13167.19482,1400.799988
2012-08-08,26.55713998,19.7845608,68.57378647,235.0199966,20.68499947,319.8934479,11.29662477,142.555784,24.88573681,8.289999962,22.04371679,5.858999968,18.48784742,7.259036064,13158.94531,1400.13501
2012-08-09,26.74109116,20.20745711,66.17101565,234.7450027,20.89000034,320.7701721,11.31423045,142.3766531,25.03773137,8.264285564,22.01414485,5.913000107,18.34263542,7.35542202,13162.66016,1402.375
2012-08-10,26.40275481,20.18460024,65.52798878,233.1399994,21.47499943,318.3990631,11.33888239,142.111476,25.00487583,8.389999866,22.04371194,5.924999952,18.43532474,7.274096012,13151.58984,1400.799988
2012-08-13,26.55714064,20.31032401,66.63511321,232.6849976,21.92500019,325.4874878,11.34592483,142.5271051,24.90217277,8.553571701,22.12947515,6.0400002,18.46003528,7.289156437,13158.9751,1401.594971
2012-08-14,26.67210554,20.07030216,67.73258517,234.6699982,20.92500019,331.7191315,11.46917345,142.2691069,24.97616624,8.790714741,22.08807153,6.043000221,18.49711286,7.171686411,13182.55469,1405.315002
2012-08-15,26.4914474,19.87600054,68.79134842,235.1949997,20.90499973,333.3380585,11.42339458,142.3407812,24.93481054,8.964285851,21.95499542,5.851000071,18.28084437,7.12650609,13165.56006,1404.779968
2012-08-16,24.61256977,20.02458834,69.59873093,239.5100021,20.08500004,334.1774139,11.5255145,143.1254929,25.30698004,9.099286079,21.86923659,5.989000082,18.10165086,6.96686697,13207.59961,1410.794983
2012-08-17,24.33994098,20.05887285,70.32875361,241.9100037,19.53999996,335.9781799,11.61707076,144.2793151,25.43516786,9.21642828,21.98457449,6.069000006,18.04603947,6.906626463,13263.08496,1416.690002
2012-08-20,24.21840009,20.02458196,69.72443264,239.9249954,19.43999958,336.6207581,11.78257541,143.7418258,25.40208469,9.107857227,21.83966042,5.94900012,18.16344134,6.903614521,13253.10498,1415.125
2012-08-21,24.26438907,20.28746444,69.34247832,241.2000046,19.53499985,333.7913666,11.87765328,143.1004651,25.45998625,9.37857151,21.72432166,5.900000095,18.17270795,6.894578457,13258.67969,1418.77002
2012-08-22,24.3957815,20.04744209,69.77275799,241.8499985,19.24499989,335.567215,11.71566976,141.7316498,25.31938451,9.37142849,21.64152047,5.904999971,18.01514241,6.882530451,13162.69971,1411.450012
2012-08-23,24.51403421,19.93314855,69.74858972,241.25,19.54500008,336.6083069,11.59594344,140.7498855,25.00924837,9.28714323,21.62673419,6.049999952,18.03368184,6.798192501,13108.91504,1406.994995
2012-08-24,24.70454842,19.69312825,69.56971913,244.1149979,19.46500015,337.3679657,11.49030045,140.5707407,25.14570845,8.975000381,21.73320096,5.964999914,18.08311332,6.840361118,13101.35498,1405.75
2012-08-27,24.67170212,19.59025965,69.46817709,245.3099976,19.31500053,331.567215,11.49734366,141.1440253,25.45170509,9.016428471,21.80713385,5.786999941,18.12018526,6.915663004,13145.81494,1412.640015
2012-08-28,24.42533905,19.4531043,69.33280893,244.8899994,19.16499996,334.3368225,11.39874694,139.96161,25.35660226,8.982857227,21.7627716,5.737999916,18.10474021,6.807228565,13114.22021,1409.609985
2012-08-29,24.38592505,19.47596412,69.47303152,246.0999985,19.22499943,340.0105438,11.46917044,140.0798341,25.30284558,9.028571606,21.79825838,5.666000128,18.1047396,6.783132553,13113.03955,1410.259949
2012-08-30,24.35308002,19.30451979,68.75751287,247.625,19.25500011,340.6157837,11.63467743,139.2593045,25.15397848,8.824999809,21.70953909,5.684000015,17.99969684,6.743975878,13040.14014,1403.544983
2012-08-31,24.42534173,19.46453656,68.78167325,247.4749985,18.36500072,340.8773041,11.67693627,139.5315835,25.36486594,8.61571455,21.74502853,5.703999996,17.9255467,6.912651062,13077.25488,1406.024963
2012-09-04,24.36621308,19.39595843,67.77126811,247.8300018,17.90999985,338.3567505,11.62059307,139.8934768,25.14571217,7.937857151,21.72432671,5.688999891,17.54244356,6.816265106,13034.73975,1402.935059
2012-09-05,24.24796872,19.37309738,68.2788804,246.9550018,18.46500015,340.1351013,11.51495041,139.6498928,25.1167664,7.857857466,21.80122263,5.630999804,17.42195243,6.843373299,13057.3252,1405.030029
2012-09-06,24.38921434,19.87600176,68.85904537,249.9499969,18.98999977,344.8623657,11.3740957,141.7388572,25.56335824,7.924999952,22.07624187,5.680000067,17.4713837,7.114458084,13169.60498,1417.929993
2012-09-07,24.91476725,20.49319816,68.37074606,256.4700089,19.10000038,351.1637421,11.44100035,142.4590273,25.55508333,8.117856979,21.99343512,5.806999922,17.57025102,7.271084547,13293.24463,1434.684998
2012-09-10,25.21696829,20.96180814,68.00329969,258.4100037,18.875,351.4825592,11.5712938,143.5232507,25.39381651,8.045714617,22.1383488,5.664999962,17.46520509,7.421687126,13287.74463,1433.859985
2012-09-11,25.00016914,21.13325122,67.94527932,255.9300003,19.21500015,346.6132965,11.57833696,144.7486824,25.43930381,8.033571482,22.2507267,5.555999994,17.53317391,7.424698591,13303.7749,1433.445007
2012-09-12,24.86878028,21.31612434,68.15801313,255.6399994,20.72000027,342.6631165,11.69536361,146.0529723,25.60057371,8.220714569,22.36014332,5.638000011,17.31381644,7.557228327,13345.56982,1436.070007
2012-09-13,24.85235566,21.69329712,67.53917889,257.9000015,21.04500008,348.5784454,11.830816,147.0060245,25.4641148,8.16214323,22.42816279,5.798000097,17.72164257,7.581325054,13449.22021,1449.549988
2012-09-14,25.79836299,22.52765589,66.26287725,261.9399872,21.48999977,353.6768341,12.01973569,148.2350563,25.66259836,8.551428795,22.15905406,6.029999971,17.62586219,7.584337473,13593.59033,1467.289978
2012-09-17,25.96917187,22.1161912,66.02595289,259.125,22.125,353.1463318,11.94488363,148.1777914,25.76184211,8.269285202,22.10877196,6.429000139,17.47447397,7.512048006,13559.91016,1461.590027
2012-09-18,26.0512883,21.63615264,65.08807416,258.75,21.67500019,355.0292511,11.97339692,148.4715703,25.73704116,8.152857304,22.17088229,6.258000135,17.68764946,7.30120492,13549.96484,1458.799988
2012-09-19,26.07099522,21.85331071,66.12324846,260.6849976,22.57000065,359.8935242,12.08746296,148.1921056,25.73290371,8.114285946,22.32169827,6.268000126,17.52699968,7.367469788,13591.61035,1461.515015
2012-09-20,25.79179397,21.24754725,66.15714376,259.4349976,22.89000034,361.7939148,12.13380519,147.7298548,25.79906016,8.227857113,22.38971363,6.218000174,17.54553206,7.406626463,13551.00977,1455.60498
2012-09-21,25.8903336,21.11038729,66.73779587,259.3699951,22.92000008,364.8922882,12.17301439,148.2924513,25.92724964,8.366429329,22.65883215,6.102999926,17.86684296,7.436747074,13609.31494,1463.289978
2012-09-24,25.41405188,20.7446435,65.86196045,254.3000031,21.17000008,368.6905518,12.1302401,147.2533033,25.51787084,8.152143002,22.68545814,6.042999983,17.82668098,7.581325531,13561.79004,1456.390015
2012-09-25,25.37134829,20.57320287,65.70711387,254.9900055,20.7149992,376.7254333,12.15875806,147.7226869,25.37314468,7.904286146,22.65587815,5.700999975,17.93172296,7.581325054,13538.72998,1452.414978
2012-09-26,25.08229007,20.15030983,65.43130066,251.4199982,20.28999996,374.1575623,12.1159826,146.8663019,25.07541117,7.784285307,22.58785646,5.587999821,17.7339979,7.442770958,13443.64014,1436.065002
2012-09-27,25.31550585,20.39032685,65.57646987,253.9599991,20.57999992,377.2086334,12.26212889,147.2820018,24.93068287,7.87571454,22.53166937,5.614000082,17.77724824,7.67771101,13468.1499,1441.779968
2012-09-28,25.16722952,20.33318129,65.91517523,255.0999985,21.22500038,376.2024078,12.29421078,148.2099977,24.81076198,7.859285593,22.34831394,5.850000143,17.60423093,7.599397659,13427.46484,1441.36499
2012-10-01,25.65463891,20.49319678,65.92970877,253.3250046,22.15999985,378.8823547,12.47957223,150.3814208,24.56265432,7.92428565,22.34831866,5.889000177,17.61350649,7.599397421,13517.95508,1449.02002
2012-10-02,25.66451714,20.32175059,66.04099376,251.0899963,22.15499973,377.6494751,12.59007155,150.4817985,24.55852111,8.042143106,22.41041567,5.889000177,17.6011487,7.509035826,13495.98975,1445.265015
2012-10-03,25.6612226,20.13887945,66.34101878,252.8300018,22.1449995,377.6146088,12.6649279,150.7074696,24.67016738,8.635714531,22.4754798,5.91899991,17.69691973,7.334336996,13487.69482,1448.14502
2012-10-04,25.85553134,20.48176706,66.66036209,258.6949921,21.90499973,380.8948059,12.73265442,150.3133141,24.64535505,9.277143002,22.66770508,5.875,17.81432332,7.42771101,13544.75488,1457.109985
2012-10-05,25.78307712,20.99609206,67.82166688,259.6949921,21.25499916,383.4103851,12.78968638,151.1552927,24.80663439,9.522857189,22.74837919,5.848999977,18.09238717,7.509036541,13615.31006,1463.924988
2012-10-08,25.49327067,20.82465143,68.00073779,257.6799927,20.45499992,378.0155945,12.75047504,150.4387075,24.59160151,10.31071472,22.55093399,5.801000118,17.9255479,7.481927633,13581.23486,1457.015015
2012-10-09,25.44057576,20.96180337,68.09749717,255.0400009,20.25999928,374.5585632,12.61858638,149.9335159,24.36417321,9.63428545,22.38339405,5.736999989,17.721634,7.451807499,13532.81982,1448.540039
2012-10-10,24.85108554,20.25317436,67.39586954,248.2350006,19.69500065,370.0678864,12.01973911,148.0846104,24.09125363,9.504285812,22.13807717,5.673000097,17.69383125,7.334336996,13403.2251,1436.580017
2012-10-11,24.96634959,20.10459482,66.6313472,245.5950012,19.78499985,375.7889404,12.00904484,147.9484161,24.03335914,9.452142715,21.94661733,5.72300005,17.7092776,7.307229042,13377.30518,1438.359985
2012-10-12,24.66665761,20.02458444,66.02647736,243.6850052,19.63999939,373.3431244,12.13737001,148.1705816,24.03336048,9.311428547,21.44103344,5.622999907,17.40341445,6.993975878,13348.875,1431.980042
2012-10-15,24.58103142,19.93314473,65.22804093,241.6449966,19.68499947,367.2559357,12.09815692,149.4963765,24.38484719,9.184286118,21.0192127,5.491000175,17.25820593,7.012048006,13381.79492,1434.275024
2012-10-16,24.84119579,20.3217524,65.88130387,243.9250031,19.49499989,369.4776154,12.18371118,150.6608539,24.42205994,9.283571243,21.17478061,5.542999983,17.28910109,7.316264868,13490.06494,1447.910034
2012-10-17,25.0124458,20.79036705,65.65387429,246.0500031,19.92500019,372.7528229,12.26569121,144.0284381,24.28560057,9.604285717,21.33633011,5.664000034,17.46829479,7.620481968,13515.27539,1457.774963
2012-10-18,24.38672688,20.9618054,65.8764549,246.8050003,19.34000015,357.5149384,12.2942092,141.2515417,24.39311972,9.77071476,21.65643592,5.677000046,17.62894789,7.391566515,13549.83008,1458.325012
2012-10-19,23.75112515,20.40175913,66.04098909,242.8800049,18.92999935,343.3879089,12.24074393,139.4778678,23.81006083,9.411428452,21.35726698,5.549999952,17.59496327,7.195783615,13428.85498,1443.594971
2012-10-22,23.58975294,20.69892972,63.28283727,235.6350021,19.23999977,337.3181458,12.1979696,138.7110668,23.42963183,9.57285738,21.07306193,5.536000013,17.55789059,7.195783615,13301.8501,1428.76001
2012-10-23,23.41849687,20.25317465,64.17318551,233.2549973,19.44999981,338.5634918,12.55799023,137.9299854,23.14017025,9.657856941,21.05511534,5.592999935,17.27056127,7.298192501,13214.09033,1420.650024
2012-10-24,23.51730217,20.11601766,64.67641801,231.9449997,23.55000019,339.2957306,12.56512133,137.5393169,23.18566027,8.45714283,20.33712098,5.576999903,17.15624941,7.382530451,13109.41992,1413.570007
2012-10-25,23.70173118,19.956007,65.46033613,226.9199982,22.88999939,337.6120453,12.66135819,137.2885559,23.18152157,8.683571815,20.6931294,5.524999857,17.12844345,6.942770958,13115.74023,1413.130005
2012-10-26,23.71160289,19.91028536,65.78937757,232.7000046,22.37999916,337.2932281,12.67205721,138.073252,23.23114495,9.337857246,20.68713962,5.481999874,16.93071752,6.888554335,13095.94482,1410.184998
2012-10-31,23.78075932,19.80754453,67.40069812,234.5999985,21.11499977,337.7340851,12.63997119,139.7573267,23.72736236,10.75,20.73501086,5.572000027,16.94924694,6.906626463,13120.5752,1412.35498
2012-11-01,24.07386497,19.95664384,74.5574189,232.9449997,21.22500038,341.1263733,12.81820415,140.6172911,24.14087442,11.02428579,20.89356375,5.768999815,17.00795124,6.897590399,13186.41016,1420.274963
2012-11-02,24.40319621,20.00252018,77.71719394,234.7549973,21.38000011,344.4389496,12.89662237,140.2052295,24.43860638,11.12999964,21.02819172,5.809999943,16.68045948,6.891566515,13183.01025,1423.590027
2012-11-05,24.55468488,19.83047854,77.58169837,232.4700012,21.19999981,339.3330994,12.85028307,138.6608674,24.4261996,10.95999956,20.75295909,6.09100008,16.57850503,6.731927633,13089.64502,1414.015015
2012-11-06,25.03879633,19.97957901,78.35111362,236.0999985,21.18000031,339.7390747,12.98574204,140.2553861,24.73219492,11.11857128,20.79783152,6.114999771,16.73916049,6.768072605,13201.8252,1425.320007
2012-11-07,24.75228031,19.61256367,77.76077291,232.5400009,20.6600008,334.9246216,12.67205847,138.4976624,24.34763666,11.12000036,20.17258339,6.286000013,16.65883008,6.795180559,13052.45996,1408.205017
2012-11-08,24.53163317,19.33729608,77.74140509,230.2750015,20.35499954,329.4451599,12.7718631,137.439585,24.05403733,11.15142822,20.07984155,6.282000065,16.59085999,6.756023884,12895.73535,1389.369995
2012-11-09,24.27475084,19.3717036,76.81716995,227.7850037,19.56499958,328.4289703,12.6756219,136.9428701,23.98373018,11.070714,19.87342019,6.07799983,16.47346058,6.891566038,12816.79004,1382.210022
2012-11-12,24.33733036,19.33729553,76.31393897,227.3150024,19.52000046,331.4252472,12.7112652,136.1007825,23.66119759,11.30857182,20.22045173,6.157999992,16.37150589,6.759036064,12822.14014,1381.029968
2012-11-13,24.08703621,19.19966975,76.73005775,226.3050003,19.83500004,330.2197571,12.75760435,136.4426612,22.53401796,11.30571365,20.3999393,6.272000074,15.87408522,6.768072605,12823.37988,1380.100037
2012-11-14,23.99152931,18.87852628,76.16391213,224.9599991,21.21500015,326.9445343,12.66849488,134.7943654,22.55069594,11.43357134,20.32814506,6.331999779,15.77213536,6.701807022,12670.20508,1366.315002
2012-11-15,23.82028338,18.59179222,74.9155093,221.6699982,22.07499981,324.7577362,12.55085931,133.8694687,22.34640976,11.52857161,20.07983926,6.194000006,15.66091086,6.617470026,12548.57471,1354.335022
2012-11-16,23.48108254,18.55738363,74.95420413,222.4449997,23.05500031,321.0516205,12.63640801,134.1142405,22.11294174,11.67285776,19.83452725,6.259000063,15.52187647,6.551204443,12537.83008,1352.690002
